assessment_id,project_id,indicator_id,applicability_status,current_score,target_score,gap_score,evidence_quality_score,data_readiness_score,priority_score,priority_level,assessment_notes,high_impact_gap
A1,P1,M6,Applicable,2,5,3,2,1,3,High,Intelligent traffic signals are operational in selected cities,High impact
A2,P2,M11,Applicable,4,5,1,4,2,1,Low,Bicycle sharing is deployed but is limited to areas like university campuses and downtown areas,Medium impact
A3,P2,M12,Applicable,4,5,1,4,1,1,Low,Shared economic transportation usage statistics is available and increasing,Low impact
A4,P3,M1,Applicable,4,5,1,4,2,1,Low,Most roads provide real-time information,High impact
A5,P4,E1,Applicable,3,5,2,4,2,2,Medium,Green spaces and forestation has been implemented in selected cities,High impact
A6,P4,E2,Applicable,3,5,2,4,2,2,Medium,"Initiatives have been made, implementation is ongoing",Medium impact
A7,P5,E7,Applicable,1,5,4,2,1,4,High,Waste management optimization strategies are partially implemented in the city,Medium impact
A8-1,P6,E3,Applicable,3,5,2,3,2,2,Medium,"Smart electricity meters have been rolled out, but implementation is ongoing",Medium impact
A8-2,P6,E4,Applicable,3,5,2,3,2,2,Medium,"Smart electricity meters have been rolled out, but implementation is ongoing",Low impact
A9,P6,E11,Applicable,4,5,1,4,3,1,Low,"Smart water meters are deployed, but city-wide coverage is not yet complete",Low impact
A10,P7,G3,Applicable,5,5,0,4,3,0,Low,"provides live, structured data for digitized services with good performance",High impact
A11,P7,G6,Applicable,4,5,1,4,3,1,Low,Municipal open data portal is operational with available usage statistics,High impact
A12,P7,G12,Applicable,3,5,2,3,2,2,Medium,City IT infrastructure is active with monitored and minimal downtime,High impact
A13-1,P8,G5,Applicable,4,5,1,4,3,1,Low,Building permit submissions are fully automated and processed electronically,High impact
A13-2,P8,G13,Applicable,4,5,1,4,3,1,Low,Building permit submissions are fully automated and processed electronically,Low impact
